question,answer
"How much did the accommodation cost in Seoul, South Korea?",$500  €
"What transportation was used to reach Seoul, South Korea?",Subway
"What was the transportation cost to Seoul, South Korea?",$20  €
"What was the total budget for the trip to Seoul, South Korea?",520.0 € (Transport: $20  € + Accommodation: $500  €)
What is the destination of the trip starting on 20/06/2024?,"Los Angeles, USA"
"When did the trip to Los Angeles, USA start?",20/06/2024
"How long was the trip to Los Angeles, USA?",7.0 days
"What nationality was the traveler to Los Angeles, USA?",Chinese
"What type of accommodation was used in Los Angeles, USA?",Hotel
"How much did the accommodation cost in Los Angeles, USA?","$1,200  €"
"What transportation was used to reach Los Angeles, USA?",Car rental
"What was the transportation cost to Los Angeles, USA?",$300  €
"What was the total budget for the trip to Los Angeles, USA?","1500.0 € (Transport: $300  € + Accommodation: $1,200  €)"
What is the destination of the trip starting on 15/07/2024?,"Rome, Italy"
"When did the trip to Rome, Italy start?",15/07/2024
"How long was the trip to Rome, Italy?",8.0 days
"What nationality was the traveler to Rome, Italy?",Italian
"What type of accommodation was used in Rome, Italy?",Airbnb
"How much did the accommodation cost in Rome, Italy?",$800  €
"What transportation was used to reach Rome, Italy?",Train
"What was the transportation cost to Rome, Italy?",$100  €
"What was the total budget for the trip to Rome, Italy?",900.0 € (Transport: $100  € + Accommodation: $800  €)
What is the destination of the trip starting on 12/07/2022?,Paris
When did the trip to Paris start?,12/07/2022
How long was the trip to Paris?,6.0 days
What nationality was the traveler to Paris?,American
What type of accommodation was used in Paris?,Hotel
How much did the accommodation cost in Paris?,1200 €
What transportation was used to reach Paris?,Plane
What was the transportation cost to Paris?,800 €
What was the total budget for the trip to Paris?,2000.0 € (Transport: 800 € + Accommodation: 1200 €)
What is the destination of the trip starting on 03/09/2022?,Tokyo
When did the trip to Tokyo start?,03/09/2022
How long was the trip to Tokyo?,7.0 days
What nationality was the traveler to Tokyo?,Japanese
What type of accommodation was used in Tokyo?,Hostel
How much did the accommodation cost in Tokyo?,400 €
What transportation was used to reach Tokyo?,Train
What was the transportation cost to Tokyo?,300 €
What was the total budget for the trip to Tokyo?,700.0 € (Transport: 300 € + Accommodation: 400 €)
What is the destination of the trip starting on 07/01/2023?,Cape Town
When did the trip to Cape Town start?,07/01/2023
How long was the trip to Cape Town?,9.0 days
What nationality was the traveler to Cape Town?,British
What type of accommodation was used in Cape Town?,Vacation rental
How much did the accommodation cost in Cape Town?,800 €
What transportation was used to reach Cape Town?,Car rental
What was the transportation cost to Cape Town?,200 €
What was the total budget for the trip to Cape Town?,1000.0 € (Transport: 200 € + Accommodation: 800 €)
What is the destination of the trip starting on 23/06/2023?,Sydney
When did the trip to Sydney start?,23/06/2023
How long was the trip to Sydney?,6.0 days
What nationality was the traveler to Sydney?,Australian
What type of accommodation was used in Sydney?,Hotel
How much did the accommodation cost in Sydney?,1500 €
What transportation was used to reach Sydney?,Plane
What was the transportation cost to Sydney?,1200 €
What was the total budget for the trip to Sydney?,2700.0 € (Transport: 1200 € + Accommodation: 1500 €)
What is the destination of the trip starting on 18/08/2023?,Barcelona
When did the trip to Barcelona start?,18/08/2023
How long was the trip to Barcelona?,7.0 days
What nationality was the traveler to Barcelona?,Spanish
What type of accommodation was used in Barcelona?,Vacation rental
How much did the accommodation cost in Barcelona?,900 €
What transportation was used to reach Barcelona?,Plane
What was the transportation cost to Barcelona?,700 €
What was the total budget for the trip to Barcelona?,1600.0 € (Transport: 700 € + Accommodation: 900 €)
What is the destination of the trip starting on 01/02/2024?,Bali
When did the trip to Bali start?,01/02/2024
How long was the trip to Bali?,7.0 days
What nationality was the traveler to Bali?,American
What type of accommodation was used in Bali?,Resort
How much did the accommodation cost in Bali?,2200 €
What transportation was used to reach Bali?,Plane
What was the transportation cost to Bali?,1000 €
What was the total budget for the trip to Bali?,3200.0 € (Transport: 1000 € + Accommodation: 2200 €)
What is the destination of the trip starting on 06/05/2024?,Paris
When did the trip to Paris start?,06/05/2024
How long was the trip to Paris?,6.0 days
What nationality was the traveler to Paris?,French
What type of accommodation was used in Paris?,Hotel
How much did the accommodation cost in Paris?,1100 €
What transportation was used to reach Paris?,Train
What was the transportation cost to Paris?,200 €
What was the total budget for the trip to Paris?,1300.0 € (Transport: 200 € + Accommodation: 1100 €)
What is the destination of the trip starting on 20/07/2024?,New York
When did the trip to New York start?,20/07/2024
How long was the trip to New York?,6.0 days
What nationality was the traveler to New York?,American
What type of accommodation was used in New York?,Vacation rental
How much did the accommodation cost in New York?,1000 €
What transportation was used to reach New York?,Plane
What was the transportation cost to New York?,800 €
What was the total budget for the trip to New York?,1800.0 € (Transport: 800 € + Accommodation: 1000 €)
What is the destination of the trip starting on 08/09/2024?,Bangkok
When did the trip to Bangkok start?,08/09/2024
How long was the trip to Bangkok?,8.0 days
What nationality was the traveler to Bangkok?,Indian
What type of accommodation was used in Bangkok?,Hostel
How much did the accommodation cost in Bangkok?,300 €
What transportation was used to reach Bangkok?,Plane
What was the transportation cost to Bangkok?,700 €
What was the total budget for the trip to Bangkok?,1000.0 € (Transport: 700 € + Accommodation: 300 €)
What is the destination of the trip starting on 14/02/2025?,Rome
When did the trip to Rome start?,14/02/2025
How long was the trip to Rome?,6.0 days
What nationality was the traveler to Rome?,Italian
What type of accommodation was used in Rome?,Hotel
How much did the accommodation cost in Rome?,1300 €
What transportation was used to reach Rome?,Train
What was the transportation cost to Rome?,100 €
What was the total budget for the trip to Rome?,1400.0 € (Transport: 100 € + Accommodation: 1300 €)
What is the destination of the trip starting on 21/05/2025?,Bali
When did the trip to Bali start?,21/05/2025
How long was the trip to Bali?,8.0 days
What nationality was the traveler to Bali?,British
What type of accommodation was used in Bali?,Resort
How much did the accommodation cost in Bali?,1800 €
What transportation was used to reach Bali?,Plane
What was the transportation cost to Bali?,1000 €
What was the total budget for the trip to Bali?,2800.0 € (Transport: 1000 € + Accommodation: 1800 €)
What is the destination of the trip starting on nan?,
When did the trip to nan start?,
How long was the trip to nan?,nan days
What nationality was the traveler to nan?,
What type of accommodation was used in nan?,
How much did the accommodation cost in nan?,nan €
What transportation was used to reach nan?,
What was the transportation cost to nan?,nan €
What was the total budget for the trip to nan?,nan € (Transport: nan € + Accommodation: nan €)
What is the destination of the trip starting on 05/08/2022?,"Bali, Indonesia"
"When did the trip to Bali, Indonesia start?",05/08/2022
"How long was the trip to Bali, Indonesia?",7.0 days
"What nationality was the traveler to Bali, Indonesia?",South Korean
"What type of accommodation was used in Bali, Indonesia?",Resort
"How much did the accommodation cost in Bali, Indonesia?",500 USD €
"What transportation was used to reach Bali, Indonesia?",Plane
"What was the transportation cost to Bali, Indonesia?",800 USD €
"What was the total budget for the trip to Bali, Indonesia?",1300.0 € (Transport: 800 USD € + Accommodation: 500 USD €)
What is the destination of the trip starting on 01/01/2023?,"Tokyo, Japan"
"When did the trip to Tokyo, Japan start?",01/01/2023
"How long was the trip to Tokyo, Japan?",8.0 days
"What nationality was the traveler to Tokyo, Japan?",American
"What type of accommodation was used in Tokyo, Japan?",Hotel
"How much did the accommodation cost in Tokyo, Japan?",1000 USD €
"What transportation was used to reach Tokyo, Japan?",Train
"What was the transportation cost to Tokyo, Japan?",200 USD €
"What was the total budget for the trip to Tokyo, Japan?",1200.0 € (Transport: 200 USD € + Accommodation: 1000 USD €)
What is the destination of the trip starting on 15/04/2023?,"Cancun, Mexico"
"When did the trip to Cancun, Mexico start?",15/04/2023
"How long was the trip to Cancun, Mexico?",7.0 days
"What nationality was the traveler to Cancun, Mexico?",Mexican
"What type of accommodation was used in Cancun, Mexico?",Resort
"How much did the accommodation cost in Cancun, Mexico?",800 USD €
"What transportation was used to reach Cancun, Mexico?",Plane
"What was the transportation cost to Cancun, Mexico?",500 USD €
"What was the total budget for the trip to Cancun, Mexico?",1300.0 € (Transport: 500 USD € + Accommodation: 800 USD €)
What is the destination of the trip starting on 07/06/2023?,"Paris, France"
"When did the trip to Paris, France start?",07/06/2023
"How long was the trip to Paris, France?",7.0 days
"What nationality was the traveler to Paris, France?",British
"What type of accommodation was used in Paris, France?",Hotel
"How much did the accommodation cost in Paris, France?",1200 USD €
"What transportation was used to reach Paris, France?",Plane
"What was the transportation cost to Paris, France?",700 USD €
"What was the total budget for the trip to Paris, France?",1900.0 € (Transport: 700 USD € + Accommodation: 1200 USD €)
What is the destination of the trip starting on 01/09/2023?,"Cape Town, SA"
"When did the trip to Cape Town, SA start?",01/09/2023
"How long was the trip to Cape Town, SA?",9.0 days
"What nationality was the traveler to Cape Town, SA?",South African
"What type of accommodation was used in Cape Town, SA?",Guesthouse
"How much did the accommodation cost in Cape Town, SA?",400 USD €
"What transportation was used to reach Cape Town, SA?",Car
"What was the transportation cost to Cape Town, SA?",300 USD €
"What was the total budget for the trip to Cape Town, SA?",700.0 € (Transport: 300 USD € + Accommodation: 400 USD €)
What is the destination of the trip starting on 12/11/2023?,"Bali, Indonesia"
"When did the trip to Bali, Indonesia start?",12/11/2023
"How long was the trip to Bali, Indonesia?",7.0 days
"What nationality was the traveler to Bali, Indonesia?",Taiwanese
"What type of accommodation was used in Bali, Indonesia?",Resort
"How much did the accommodation cost in Bali, Indonesia?",600 USD €
"What transportation was used to reach Bali, Indonesia?",Plane
"What was the transportation cost to Bali, Indonesia?",700 USD €
"What was the total budget for the trip to Bali, Indonesia?",1300.0 € (Transport: 700 USD € + Accommodation: 600 USD €)
What is the destination of the trip starting on 05/02/2024?,"Sydney, Aus"
"When did the trip to Sydney, Aus start?",05/02/2024
"How long was the trip to Sydney, Aus?",7.0 days
"What nationality was the traveler to Sydney, Aus?",Australian
"What type of accommodation was used in Sydney, Aus?",Hotel
"How much did the accommodation cost in Sydney, Aus?",900 USD €
"What transportation was used to reach Sydney, Aus?",Plane
"What was the transportation cost to Sydney, Aus?",600 USD €
"What was the total budget for the trip to Sydney, Aus?",1500.0 € (Transport: 600 USD € + Accommodation: 900 USD €)
What is the destination of the trip starting on 15/05/2024?,"Bangkok, Thai"
"When did the trip to Bangkok, Thai start?",15/05/2024
"How long was the trip to Bangkok, Thai?",7.0 days
"What nationality was the traveler to Bangkok, Thai?",Korean
"What type of accommodation was used in Bangkok, Thai?",Hotel
"How much did the accommodation cost in Bangkok, Thai?",400 USD €
"What transportation was used to reach Bangkok, Thai?",Plane
"What was the transportation cost to Bangkok, Thai?",400 USD €
"What was the total budget for the trip to Bangkok, Thai?",800.0 € (Transport: 400 USD € + Accommodation: 400 USD €)
What is the destination of the trip starting on 20/08/2024?,"New York, USA"
"When did the trip to New York, USA start?",20/08/2024
"How long was the trip to New York, USA?",7.0 days
"What nationality was the traveler to New York, USA?",American
"What type of accommodation was used in New York, USA?",Hotel
"How much did the accommodation cost in New York, USA?",1500 USD €
"What transportation was used to reach New York, USA?",Plane
"What was the transportation cost to New York, USA?",1000 USD €
"What was the total budget for the trip to New York, USA?",2500.0 € (Transport: 1000 USD € + Accommodation: 1500 USD €)
What is the destination of the trip starting on 01/01/2025?,"Phuket, Thai"
"When did the trip to Phuket, Thai start?",01/01/2025
"How long was the trip to Phuket, Thai?",7.0 days
"What nationality was the traveler to Phuket, Thai?",British
"What type of accommodation was used in Phuket, Thai?",Resort
"How much did the accommodation cost in Phuket, Thai?",700 USD €
"What transportation was used to reach Phuket, Thai?",Plane
"What was the transportation cost to Phuket, Thai?",800 USD €
"What was the total budget for the trip to Phuket, Thai?",1500.0 € (Transport: 800 USD € + Accommodation: 700 USD €)
What is the destination of the trip starting on 15/04/2025?,"Rome, Italy"
"When did the trip to Rome, Italy start?",15/04/2025
"How long was the trip to Rome, Italy?",7.0 days
"What nationality was the traveler to Rome, Italy?",American
"What type of accommodation was used in Rome, Italy?",Hotel
"How much did the accommodation cost in Rome, Italy?",100 €
"What transportation was used to reach Rome, Italy?",
"What was the transportation cost to Rome, Italy?",nan €
"What was the total budget for the trip to Rome, Italy?",nan € (Transport: nan € + Accommodation: 100 €)
What is the destination of the trip starting on 15/06/2021?,Paris
When did the trip to Paris start?,15/06/2021
How long was the trip to Paris?,6.0 days
What nationality was the traveler to Paris?,American
What type of accommodation was used in Paris?,Hotel
How much did the accommodation cost in Paris?,800 USD €
What transportation was used to reach Paris?,Plane
What was the transportation cost to Paris?,500 USD €
What was the total budget for the trip to Paris?,1300.0 € (Transport: 500 USD € + Accommodation: 800 USD €)
What is the destination of the trip starting on 01/07/2021?,Tokyo
When did the trip to Tokyo start?,01/07/2021
How long was the trip to Tokyo?,10.0 days
What nationality was the traveler to Tokyo?,Korean
What type of accommodation was used in Tokyo?,Airbnb
How much did the accommodation cost in Tokyo?,500 USD €
What transportation was used to reach Tokyo?,Train
What was the transportation cost to Tokyo?,300 USD €
What was the total budget for the trip to Tokyo?,800.0 € (Transport: 300 USD € + Accommodation: 500 USD €)
What is the destination of the trip starting on 10/08/2021?,Bali
When did the trip to Bali start?,10/08/2021
How long was the trip to Bali?,11.0 days
What nationality was the traveler to Bali?,Spanish
What type of accommodation was used in Bali?,Resort
How much did the accommodation cost in Bali?,1200 USD €
What transportation was used to reach Bali?,Plane
What was the transportation cost to Bali?,700 USD €
What was the total budget for the trip to Bali?,1900.0 € (Transport: 700 USD € + Accommodation: 1200 USD €)
What is the destination of the trip starting on 01/09/2021?,Sydney
When did the trip to Sydney start?,01/09/2021
How long was the trip to Sydney?,9.0 days
What nationality was the traveler to Sydney?,Australian
What type of accommodation was used in Sydney?,Hotel
How much did the accommodation cost in Sydney?,900 USD €
What transportation was used to reach Sydney?,Plane
What was the transportation cost to Sydney?,600 USD €
What was the total budget for the trip to Sydney?,1500.0 € (Transport: 600 USD € + Accommodation: 900 USD €)
What is the destination of the trip starting on 15/10/2021?,New York
When did the trip to New York start?,15/10/2021
How long was the trip to New York?,6.0 days
What nationality was the traveler to New York?,American
What type of accommodation was used in New York?,Airbnb
How much did the accommodation cost in New York?,700 USD €
What transportation was used to reach New York?,Car rental
What was the transportation cost to New York?,200 USD €
What was the total budget for the trip to New York?,900.0 € (Transport: 200 USD € + Accommodation: 700 USD €)
What is the destination of the trip starting on 20/11/2021?,London
When did the trip to London start?,20/11/2021
How long was the trip to London?,11.0 days
What nationality was the traveler to London?,British
What type of accommodation was used in London?,Hostel
How much did the accommodation cost in London?,300 USD €
What transportation was used to reach London?,Plane
What was the transportation cost to London?,400 USD €
What was the total budget for the trip to London?,700.0 € (Transport: 400 USD € + Accommodation: 300 USD €)
What is the destination of the trip starting on 01/01/2022?,Dubai
When did the trip to Dubai start?,01/01/2022
How long was the trip to Dubai?,8.0 days
What nationality was the traveler to Dubai?,Emirati
What type of accommodation was used in Dubai?,Hotel
How much did the accommodation cost in Dubai?,1000 USD €
What transportation was used to reach Dubai?,Plane
What was the transportation cost to Dubai?,800 USD €
What was the total budget for the trip to Dubai?,1800.0 € (Transport: 800 USD € + Accommodation: 1000 USD €)
What is the destination of the trip starting on 14/02/2022?,Bangkok
When did the trip to Bangkok start?,14/02/2022
How long was the trip to Bangkok?,7.0 days
What nationality was the traveler to Bangkok?,Vietnamese
What type of accommodation was used in Bangkok?,Airbnb
How much did the accommodation cost in Bangkok?,400 USD €
What transportation was used to reach Bangkok?,Train
What was the transportation cost to Bangkok?,100 USD €
What was the total budget for the trip to Bangkok?,500.0 € (Transport: 100 USD € + Accommodation: 400 USD €)
What is the destination of the trip starting on 10/03/2022?,Rome
When did the trip to Rome start?,10/03/2022
How long was the trip to Rome?,11.0 days
What nationality was the traveler to Rome?,Italian
What type of accommodation was used in Rome?,Hostel
How much did the accommodation cost in Rome?,200 USD €
What transportation was used to reach Rome?,Plane
What was the transportation cost to Rome?,350 USD €
What was the total budget for the trip to Rome?,550.0 € (Transport: 350 USD € + Accommodation: 200 USD €)
What is the destination of the trip starting on 15/04/2022?,Bali
When did the trip to Bali start?,15/04/2022
How long was the trip to Bali?,11.0 days
What nationality was the traveler to Bali?,Indonesian
What type of accommodation was used in Bali?,Villa
How much did the accommodation cost in Bali?,1500 USD €
What transportation was used to reach Bali?,Car rental
What was the transportation cost to Bali?,300 USD €
What was the total budget for the trip to Bali?,1800.0 € (Transport: 300 USD € + Accommodation: 1500 USD €)
What is the destination of the trip starting on 01/05/2022?,Seoul
When did the trip to Seoul start?,01/05/2022
How long was the trip to Seoul?,10.0 days
What nationality was the traveler to Seoul?,Korean
What type of accommodation was used in Seoul?,Hotel
How much did the accommodation cost in Seoul?,800 USD €
What transportation was used to reach Seoul?,Train
What was the transportation cost to Seoul?,150 USD €
What was the total budget for the trip to Seoul?,950.0 € (Transport: 150 USD € + Accommodation: 800 USD €)
What is the destination of the trip starting on 15/06/2022?,Paris
When did the trip to Paris start?,15/06/2022
How long was the trip to Paris?,5.0 days
What nationality was the traveler to Paris?,USA
What type of accommodation was used in Paris?,Hotel
How much did the accommodation cost in Paris?,$500  €
What transportation was used to reach Paris?,Plane
What was the transportation cost to Paris?,$800  €
What was the total budget for the trip to Paris?,1300.0 € (Transport: $800  € + Accommodation: $500  €)
What is the destination of the trip starting on 01/09/2022?,Tokyo
When did the trip to Tokyo start?,01/09/2022
How long was the trip to Tokyo?,9.0 days
What nationality was the traveler to Tokyo?,Canada
What type of accommodation was used in Tokyo?,Airbnb
How much did the accommodation cost in Tokyo?,$400  €
What transportation was used to reach Tokyo?,Train
What was the transportation cost to Tokyo?,$200  €
What was the total budget for the trip to Tokyo?,600.0 € (Transport: $200  € + Accommodation: $400  €)
What is the destination of the trip starting on 23/11/2022?,Sydney
When did the trip to Sydney start?,23/11/2022
How long was the trip to Sydney?,9.0 days
What nationality was the traveler to Sydney?,South Korea
What type of accommodation was used in Sydney?,Hostel
How much did the accommodation cost in Sydney?,$200  €
What transportation was used to reach Sydney?,Plane
What was the transportation cost to Sydney?,"$1,200  €"
What was the total budget for the trip to Sydney?,"1400.0 € (Transport: $1,200  € + Accommodation: $200  €)"
What is the destination of the trip starting on 14/02/2023?,London
When did the trip to London start?,14/02/2023
How long was the trip to London?,5.0 days
What nationality was the traveler to London?,UK
What type of accommodation was used in London?,Hotel
How much did the accommodation cost in London?,$600  €
What transportation was used to reach London?,Plane
What was the transportation cost to London?,$700  €
What was the total budget for the trip to London?,1300.0 € (Transport: $700  € + Accommodation: $600  €)
What is the destination of the trip starting on 08/05/2023?,New York
When did the trip to New York start?,08/05/2023
How long was the trip to New York?,6.0 days
What nationality was the traveler to New York?,China
What type of accommodation was used in New York?,Airbnb
How much did the accommodation cost in New York?,$800  €
What transportation was used to reach New York?,Car rental
What was the transportation cost to New York?,$300  €
What was the total budget for the trip to New York?,1100.0 € (Transport: $300  € + Accommodation: $800  €)
What is the destination of the trip starting on 20/08/2023?,Rome
When did the trip to Rome start?,20/08/2023
How long was the trip to Rome?,7.0 days
What nationality was the traveler to Rome?,Taiwan
What type of accommodation was used in Rome?,Hotel
How much did the accommodation cost in Rome?,$700  €
What transportation was used to reach Rome?,Plane
What was the transportation cost to Rome?,$900  €
What was the total budget for the trip to Rome?,1600.0 € (Transport: $900  € + Accommodation: $700  €)
What is the destination of the trip starting on 12/11/2023?,Bangkok
When did the trip to Bangkok start?,12/11/2023
How long was the trip to Bangkok?,8.0 days
What nationality was the traveler to Bangkok?,Japan
What type of accommodation was used in Bangkok?,Hostel
How much did the accommodation cost in Bangkok?,$300  €
What transportation was used to reach Bangkok?,Train
What was the transportation cost to Bangkok?,$100  €
What was the total budget for the trip to Bangkok?,400.0 € (Transport: $100  € + Accommodation: $300  €)
What is the destination of the trip starting on 06/01/2024?,Cape Town
When did the trip to Cape Town start?,06/01/2024
How long was the trip to Cape Town?,8.0 days
What nationality was the traveler to Cape Town?,Spain
What type of accommodation was used in Cape Town?,Airbnb
How much did the accommodation cost in Cape Town?,$500  €
What transportation was used to reach Cape Town?,Plane
What was the transportation cost to Cape Town?,"$1,500  €"
What was the total budget for the trip to Cape Town?,"2000.0 € (Transport: $1,500  € + Accommodation: $500  €)"
What is the destination of the trip starting on 03/04/2024?,Rio de Janeiro
When did the trip to Rio de Janeiro start?,03/04/2024
How long was the trip to Rio de Janeiro?,7.0 days
What nationality was the traveler to Rio de Janeiro?,Brazil
What type of accommodation was used in Rio de Janeiro?,Hotel
How much did the accommodation cost in Rio de Janeiro?,$900  €
What transportation was used to reach Rio de Janeiro?,Car rental
What was the transportation cost to Rio de Janeiro?,$400  €
What was the total budget for the trip to Rio de Janeiro?,1300.0 € (Transport: $400  € + Accommodation: $900  €)
What is the destination of the trip starting on 22/07/2024?,Bali
When did the trip to Bali start?,22/07/2024
How long was the trip to Bali?,6.0 days
What nationality was the traveler to Bali?,South Korea
What type of accommodation was used in Bali?,Villa
How much did the accommodation cost in Bali?,"$1,200  €"
What transportation was used to reach Bali?,Plane
What was the transportation cost to Bali?,"$1,000  €"
What was the total budget for the trip to Bali?,"2200.0 € (Transport: $1,000  € + Accommodation: $1,200  €)"
What is the destination of the trip starting on 10/10/2024?,Amsterdam
When did the trip to Amsterdam start?,10/10/2024
How long was the trip to Amsterdam?,7.0 days
What nationality was the traveler to Amsterdam?,Germany
What type of accommodation was used in Amsterdam?,Hotel
How much did the accommodation cost in Amsterdam?,$600  €
What transportation was used to reach Amsterdam?,Train
What was the transportation cost to Amsterdam?,$150  €
What was the total budget for the trip to Amsterdam?,750.0 € (Transport: $150  € + Accommodation: $600  €)
What is the destination of the trip starting on 15/05/2022?,Paris
When did the trip to Paris start?,15/05/2022
How long was the trip to Paris?,5.0 days
What nationality was the traveler to Paris?,USA
What type of accommodation was used in Paris?,Hotel
How much did the accommodation cost in Paris?,1000 €
What transportation was used to reach Paris?,Plane
What was the transportation cost to Paris?,800 €
What was the total budget for the trip to Paris?,1800.0 € (Transport: 800 € + Accommodation: 1000 €)
What is the destination of the trip starting on 01/09/2022?,Tokyo
When did the trip to Tokyo start?,01/09/2022
How long was the trip to Tokyo?,9.0 days
What nationality was the traveler to Tokyo?,South Korea
What type of accommodation was used in Tokyo?,Airbnb
How much did the accommodation cost in Tokyo?,800 €
What transportation was used to reach Tokyo?,Train
What was the transportation cost to Tokyo?,500 €
What was the total budget for the trip to Tokyo?,1300.0 € (Transport: 500 € + Accommodation: 800 €)
What is the destination of the trip starting on 20/06/2022?,New York
When did the trip to New York start?,20/06/2022
How long was the trip to New York?,5.0 days
What nationality was the traveler to New York?,Hong Kong
What type of accommodation was used in New York?,Hotel
How much did the accommodation cost in New York?,1200 €
What transportation was used to reach New York?,Car rental
What was the transportation cost to New York?,200 €
What was the total budget for the trip to New York?,1400.0 € (Transport: 200 € + Accommodation: 1200 €)
What is the destination of the trip starting on 12/08/2022?,Bali
When did the trip to Bali start?,12/08/2022
How long was the trip to Bali?,8.0 days
What nationality was the traveler to Bali?,Taiwan
What type of accommodation was used in Bali?,Resort
How much did the accommodation cost in Bali?,1500 €
What transportation was used to reach Bali?,Plane
What was the transportation cost to Bali?,1200 €
What was the total budget for the trip to Bali?,2700.0 € (Transport: 1200 € + Accommodation: 1500 €)
What is the destination of the trip starting on 01/07/2022?,Sydney
When did the trip to Sydney start?,01/07/2022
How long was the trip to Sydney?,9.0 days
What nationality was the traveler to Sydney?,Canada
What type of accommodation was used in Sydney?,Hostel
How much did the accommodation cost in Sydney?,300 €
What transportation was used to reach Sydney?,Plane
What was the transportation cost to Sydney?,900 €
What was the total budget for the trip to Sydney?,1200.0 € (Transport: 900 € + Accommodation: 300 €)
What is the destination of the trip starting on 10/06/2022?,London
When did the trip to London start?,10/06/2022
How long was the trip to London?,5.0 days
What nationality was the traveler to London?,United Kingdom
What type of accommodation was used in London?,Hotel
How much did the accommodation cost in London?,900 €
What transportation was used to reach London?,Train
What was the transportation cost to London?,150 €
What was the total budget for the trip to London?,1050.0 € (Transport: 150 € + Accommodation: 900 €)
What is the destination of the trip starting on 05/09/2022?,Phuket
When did the trip to Phuket start?,05/09/2022
How long was the trip to Phuket?,7.0 days
What nationality was the traveler to Phuket?,Singapore
What type of accommodation was used in Phuket?,Villa
How much did the accommodation cost in Phuket?,2000 €
What transportation was used to reach Phuket?,Plane
What was the transportation cost to Phuket?,700 €
What was the total budget for the trip to Phuket?,2700.0 € (Transport: 700 € + Accommodation: 2000 €)
What is the destination of the trip starting on 01/05/2022?,Rome
When did the trip to Rome start?,01/05/2022
How long was the trip to Rome?,7.0 days
What nationality was the traveler to Rome?,Italy
What type of accommodation was used in Rome?,Hotel
How much did the accommodation cost in Rome?,1100 €
What transportation was used to reach Rome?,Train
What was the transportation cost to Rome?,250 €
What was the total budget for the trip to Rome?,1350.0 € (Transport: 250 € + Accommodation: 1100 €)
What is the destination of the trip starting on 15/07/2022?,Santorini
When did the trip to Santorini start?,15/07/2022
How long was the trip to Santorini?,7.0 days
What nationality was the traveler to Santorini?,Greece
What type of accommodation was used in Santorini?,Airbnb
How much did the accommodation cost in Santorini?,1000 €
What transportation was used to reach Santorini?,Ferry
What was the transportation cost to Santorini?,150 €
What was the total budget for the trip to Santorini?,1150.0 € (Transport: 150 € + Accommodation: 1000 €)
What is the destination of the trip starting on 25/08/2022?,Dubai
When did the trip to Dubai start?,25/08/2022
How long was the trip to Dubai?,5.0 days
What nationality was the traveler to Dubai?,United Arab Emirates
What type of accommodation was used in Dubai?,Hotel
How much did the accommodation cost in Dubai?,1500 €
What transportation was used to reach Dubai?,Car rental
What was the transportation cost to Dubai?,300 €
What was the total budget for the trip to Dubai?,1800.0 € (Transport: 300 € + Accommodation: 1500 €)
What is the destination of the trip starting on 10/09/2022?,Phnom Penh
When did the trip to Phnom Penh start?,10/09/2022
How long was the trip to Phnom Penh?,5.0 days
What nationality was the traveler to Phnom Penh?,Cambodia
What type of accommodation was used in Phnom Penh?,Hostel
How much did the accommodation cost in Phnom Penh?,200 €
What transportation was used to reach Phnom Penh?,Plane
What was the transportation cost to Phnom Penh?,500 €
What was the total budget for the trip to Phnom Penh?,700.0 € (Transport: 500 € + Accommodation: 200 €)
What is the destination of the trip starting on 05/02/2022?,"Tokyo, Japan"
"When did the trip to Tokyo, Japan start?",05/02/2022
"How long was the trip to Tokyo, Japan?",9.0 days
"What nationality was the traveler to Tokyo, Japan?",American
"What type of accommodation was used in Tokyo, Japan?",Hotel
"How much did the accommodation cost in Tokyo, Japan?",1000 €
"What transportation was used to reach Tokyo, Japan?",Plane
"What was the transportation cost to Tokyo, Japan?",700 €
"What was the total budget for the trip to Tokyo, Japan?",1700.0 € (Transport: 700 € + Accommodation: 1000 €)
What is the destination of the trip starting on 15/03/2022?,"Paris, France"
"When did the trip to Paris, France start?",15/03/2022
"How long was the trip to Paris, France?",7.0 days
"What nationality was the traveler to Paris, France?",Canadian
"What type of accommodation was used in Paris, France?",Hotel
"How much did the accommodation cost in Paris, France?",1200 €
"What transportation was used to reach Paris, France?",Train
"What was the transportation cost to Paris, France?",500 €
"What was the total budget for the trip to Paris, France?",1700.0 € (Transport: 500 € + Accommodation: 1200 €)
What is the destination of the trip starting on 01/05/2022?,"Sydney, Aus"
"When did the trip to Sydney, Aus start?",01/05/2022
"How long was the trip to Sydney, Aus?",11.0 days
"What nationality was the traveler to Sydney, Aus?",Chinese
"What type of accommodation was used in Sydney, Aus?",Airbnb
"How much did the accommodation cost in Sydney, Aus?",800 €
"What transportation was used to reach Sydney, Aus?",Plane
"What was the transportation cost to Sydney, Aus?",1000 €
"What was the total budget for the trip to Sydney, Aus?",1800.0 € (Transport: 1000 € + Accommodation: 800 €)
What is the destination of the trip starting on 10/06/2022?,"Rome, Italy"
"When did the trip to Rome, Italy start?",10/06/2022
"How long was the trip to Rome, Italy?",7.0 days
"What nationality was the traveler to Rome, Italy?",Korean
"What type of accommodation was used in Rome, Italy?",Hotel
"How much did the accommodation cost in Rome, Italy?",900 €
"What transportation was used to reach Rome, Italy?",Train
"What was the transportation cost to Rome, Italy?",400 €
